index,time,acc x,acc y,acc z,gyro x,gyro y,gyro z,mag x,mag y,mag z
106,5.283,-0.9100799560546875,-0.0139923095703125,-0.1091156005859375,-0.4611513614654541,3.446911334991455,-0.5177134275436401,353.0653076171875,16.349472045898438,-281.0584411621094
107,5.333,-0.8763580322265625,-0.0454864501953125,-0.28265380859375,-0.21870730817317963,3.241534471511841,-0.4377126395702362,352.9071350097656,15.970413208007812,-287.1400146484375
108,5.382,-0.9131927490234375,-0.033050537109375,-0.4010467529296875,-0.20794974267482758,2.845825433731079,-0.3016517162322998,353.7054748535156,15.209304809570312,-293.31396484375
109,5.432,-0.88043212890625,-0.044647216796875,-0.55377197265625,-0.13751205801963806,2.5075738430023193,-0.19591118395328522,354.7696228027344,14.874160766601562,-298.4455261230469
110,5.482,-0.8080902099609375,0.0355224609375,-0.58306884765625,0.19957515597343445,2.27614164352417,-0.5451576113700867,356.2064208984375,14.511444091796875,-302.6850280761719
111,5.532,-0.645751953125,-0.11444091796875,-0.7232513427734375,0.4838961064815521,1.294852375984192,-0.35837411880493164,358.35504150390625,13.180023193359375,-306.2576904296875
112,5.582,-0.691375732421875,-0.0389404296875,-0.704681396484375,0.2380029708147049,1.2785670757293701,-0.26287955045700073,359.52008056640625,12.189315795898438,-307.4421691894531
113,5.632,-0.6241302490234375,-0.0966033935546875,-0.7750701904296875,-0.20070646703243256,1.922110915184021,-0.3338663876056671,360.5408935546875,11.9041748046875,-309.04083251953125
114,5.681,-0.434112548828125,-0.0801849365234375,-0.8626861572265625,-0.3299424946308136,1.715375304222107,-0.04711344838142395,362.52850341796875,11.465255737304688,-312.354736328125
115,5.731,-0.4248809814453125,-0.0512237548828125,-0.899169921875,-0.279859334230423,1.3835116624832153,0.38663533329963684,363.6488037109375,11.82916259765625,-314.7087707519531
116,5.781,-0.54864501953125,0.0386199951171875,-1.0023651123046875,-0.47265541553497314,1.6042972803115845,0.881673276424408,362.23382568359375,13.06396484375,-316.55126953125
117,5.831,-0.3649139404296875,0.054443359375,-0.8107452392578125,-0.9712764024734497,2.644282341003418,0.27368080615997314,361.50262451171875,15.669692993164062,-318.50433349609375
118,5.881,-0.1981048583984375,0.113739013671875,-1.0355377197265625,-2.212696075439453,2.4102516174316406,0.4466608464717865,365.05340576171875,18.576446533203125,-321.666748046875
119,5.931,-0.06390380859375,0.207305908203125,-0.9775238037109375,-1.8846114873886108,0.9770916700363159,0.7821016907691956,367.6998291015625,24.148605346679688,-323.01519775390625
120,5.98,-0.0264129638671875,0.3860931396484375,-0.872833251953125,-3.2642343044281006,1.9863746166229248,0.5037326812744141,368.09954833984375,30.451904296875,-323.27691650390625
121,6.03,-0.0500030517578125,0.5188751220703125,-1.055511474609375,-2.845742702484131,-0.8195564150810242,-0.15111307799816132,369.2618408203125,37.77024841308594,-322.5777587890625
122,6.08,0.227294921875,0.5694732666015625,-1.01824951171875,-1.7902426719665527,0.028897695243358612,0.5215350985527039,367.0517578125,42.941162109375,-317.67694091796875
123,6.13,0.132720947265625,0.6217498779296875,-0.8153533935546875,-2.0223677158355713,0.31982672214508057,0.8040480017662048,366.02838134765625,47.618804931640625,-315.920654296875
124,6.18,0.0586090087890625,0.621917724609375,-0.8038482666015625,-1.7901675701141357,-0.6787673234939575,0.4627157151699066,364.4222717285156,54.37580871582031,-315.2230224609375
125,6.23,-0.106201171875,0.7447357177734375,-0.6263275146484375,-1.9429283142089844,-0.03325382620096207,-0.026072613894939423,361.8283996582031,61.94462585449219,-312.44281005859375
126,6.279,0.0348358154296875,0.895904541015625,-0.7078704833984375,-2.0025033950805664,-1.6142199039459229,-0.5184522271156311,360.7454833984375,66.482177734375,-308.76416015625
127,6.329,0.2545318603515625,0.923370361328125,-0.5425872802734375,-2.0549073219299316,-0.008194014430046082,0.1583704650402069,360.64874267578125,67.40771484375,-303.626708984375
128,6.379,-0.2211151123046875,0.8644256591796875,-0.28546142578125,-2.0203142166137695,0.12180633097887039,0.1599302738904953,365.0216064453125,69.77699279785156,-301.4068908691406
129,6.429,-0.0575103759765625,0.9457855224609375,-0.23052978515625,-2.4040160179138184,-0.05083681643009186,0.17965711653232574,368.6662902832031,70.49052429199219,-299.0111999511719
130,6.479,0.008697509765625,1.0604400634765625,-0.1307373046875,-2.964646339416504,0.07003208249807358,0.32372692227363586,370.5699768066406,72.18649291992188,-294.3600769042969
131,6.529,0.0177001953125,1.021392822265625,0.066864013671875,-3.2443292140960693,0.4819850027561188,0.3525117039680481,374.5033874511719,71.91943359375,-290.24969482421875
132,6.579,0.0240020751953125,0.9709625244140625,0.208740234375,-3.5703306198120117,0.4857291579246521,0.3505236506462097,378.0054931640625,72.05661010742188,-286.634521484375
133,6.628,0.0312957763671875,0.9894256591796875,0.37200927734375,-3.6427202224731445,0.8859471082687378,0.30183443427085876,380.145751953125,72.3387451171875,-283.38427734375
134,6.678,0.04754638671875,0.9123382568359375,0.373565673828125,-3.5112087726593018,0.573746919631958,0.19941723346710205,382.33099365234375,72.05345153808594,-279.91912841796875
135,6.728,0.061126708984375,0.8153533935546875,0.5296478271484375,-3.101602077484131,0.36275556683540344,0.16877250373363495,383.14154052734375,72.41374206542969,-276.5467224121094
136,6.778,0.1053924560546875,0.711700439453125,0.6556549072265625,-2.7311418056488037,-0.1336486041545868,0.37733450531959534,385.01055908203125,71.69902038574219,-273.153564453125
137,6.828,0.0315093994140625,0.6494293212890625,0.898468017578125,-3.1212987899780273,0.03099733032286167,0.4480811059474945,386.3827819824219,70.84660339355469,-269.7420654296875
138,6.878,-0.02484130859375,0.412384033203125,0.7999725341796875,-3.4588699340820312,0.9868583083152771,0.27652639150619507,386.7536315917969,69.66436767578125,-265.1116943359375
139,6.927,-0.0208892822265625,0.2928924560546875,0.9293212890625,-3.56356143951416,1.0353957414627075,0.2145671546459198,386.50146484375,67.76443481445312,-260.557373046875
140,6.977,-0.108917236328125,0.037628173828125,0.8524322509765625,-3.5381276607513428,1.0251654386520386,0.5774604082107544,386.30487060546875,64.28742980957031,-255.93728637695312
141,7.027,-0.1497650146484375,-0.05718994140625,0.8926544189453125,-3.1023969650268555,1.4281848669052124,0.7329855561256409,385.1810302734375,60.83149719238281,-252.19723510742188
142,7.077,-0.25909423828125,-0.2235565185546875,0.81683349609375,-1.3094589710235596,0.02749181166291237,0.3947129547595978,384.2349853515625,56.8951416015625,-249.95950317382812
143,7.127,-0.222320556640625,-0.1707000732421875,0.9557037353515625,0.3146607279777527,-0.06793724000453949,0.12122655659914017,384.61944580078125,55.28724670410156,-249.59397888183594
