index,time,acc x,acc y,acc z,sin ori x,sin ori y,sin ori z,user input
86,4.76,0.526092529296875,-2.1288604736328125,0.010345458984375,0.7498774965760338,-0.8044365252006362,0.948953932125593,0
87,4.81,1.3322296142578125,-0.6851959228515625,0.2708587646484375,0.8262376342936318,-0.7812495271942285,0.896252654645938,0
88,4.86,2.009307861328125,-0.0096435546875,0.8432464599609375,0.9226481090208137,-0.7451679968265585,0.852904099742473,0
89,5.003,-9.340972900390625,-2.50048828125,-6.325469970703125,0.7887842639886249,-0.7067941765179446,0.9952370189380363,0
90,5.08,-2.6036529541015625,0.6409454345703125,0.5038909912109375,0.6159996014188199,-0.7240554854913854,0.952277555394396,0
91,5.129,-0.212493896484375,-0.187164306640625,0.792755126953125,0.9732434419960493,-0.7892278355816013,-0.25242487520565715,1
92,5.179,-0.2423858642578125,-0.52020263671875,0.8772735595703125,0.8601466592364846,-0.8205544272513056,-0.23121406740019973,0
93,5.229,0.9235076904296875,-0.46478271484375,0.093841552734375,0.19791049218352744,-0.8449527924183926,0.8895952364637969,0
94,5.279,0.952392578125,-0.3778228759765625,0.8351593017578125,0.12174574884416851,-0.8788990233050689,0.8847458377030502,0
95,5.329,1.1103363037109375,-0.30023193359375,0.2044525146484375,-0.02551913477543241,-0.8747272606020237,0.8964349097002201,0
96,5.379,0.83624267578125,-0.0501708984375,-0.0591278076171875,-0.7624973687578317,-0.8785605656644677,0.995728087526629,0
97,5.428,1.1141815185546875,-0.256805419921875,0.521392822265625,-0.8069506136241336,-0.8449881001573509,0.998064207913805,0
98,5.478,-0.4432220458984375,-2.1096343994140625,-0.1771240234375,-0.7982325073821472,-0.8424980122506635,0.9772336405660791,0
99,5.568,0.423736572265625,-2.10546875,0.3406219482421875,-0.7921342824618243,-0.7987953853586642,0.9951299374009468,0
100,5.618,1.7129058837890625,-0.435516357421875,0.7595367431640625,-0.7541828729208897,-0.7463123905224494,0.9963221049186369,0
101,5.877,-0.979217529296875,2.3481597900390625,-1.0833892822265625,-0.8399480410276277,-0.8558494568846147,0.9776347205684497,0
102,5.927,-0.8019866943359375,0.4814453125,1.595428466796875,-0.9086193253896624,-0.936277138937984,0.9434223576418463,1
103,5.977,-0.224212646484375,0.0971527099609375,0.181976318359375,0.8821542468756801,-0.9611056022884621,-0.7359136013970176,0
104,6.027,1.393096923828125,-0.4229736328125,0.5259552001953125,0.923781353274749,-0.9850048234662834,-0.7928578995971375,0
105,6.076,1.4356536865234375,-0.4162445068359375,0.5359039306640625,0.9566474121528572,-0.9977583269363015,-0.8436006750949671,0
106,6.126,1.0976715087890625,-0.659088134765625,0.4628753662109375,0.9818903739040319,-0.9995511287004242,-0.814257920256058,0
107,6.176,0.6847991943359375,-0.5213165283203125,0.1028900146484375,0.19363048618804107,-0.9989003738236164,0.7900497885018265,0
108,6.226,0.8098602294921875,-0.62164306640625,0.341400146484375,0.48137355824565353,-0.998863655849152,0.7523035878450559,0
109,6.276,0.4949798583984375,-1.1053009033203125,0.212249755859375,0.4670068772488246,-0.9976929800325712,0.8185147290850072,0
110,6.326,-0.54449462890625,-1.8637237548828125,0.4881439208984375,0.5254263946123485,-0.9991076445221527,0.8222684083887423,0
111,6.376,0.1646575927734375,-1.0507965087890625,0.5072021484375,0.45730175466054185,-0.9975764695574458,0.7999291466307472,0
112,6.425,0.5142669677734375,-0.4451751708984375,0.087677001953125,0.1932373479683314,-0.9955364589535378,0.749865323774005,0
113,6.475,0.405120849609375,-0.3285064697265625,0.4259185791015625,0.7918355622921692,-0.9929420669284338,0.6016193391848941,0
114,6.525,0.340606689453125,-0.45086669921875,0.6251068115234375,0.8110481539619461,-0.9897583963512279,0.40421090635616147,0
115,6.575,-0.3322296142578125,-1.68438720703125,0.0804443359375,0.7808438606324997,-0.9873297828268405,0.474843103456647,0
116,6.655,0.34844970703125,-1.9789886474609375,0.57464599609375,0.7721200152650294,-0.9732664048579289,0.38894391126100814,0
117,6.704,1.94915771484375,-0.8478546142578125,0.1343841552734375,0.7763264100853648,-0.9399174797446352,0.2621339205860794,0
118,6.964,-2.959564208984375,0.8949127197265625,0.393035888671875,0.882334330145776,-0.9922747290859473,0.17833724406147192,0
119,7.014,-0.7249603271484375,-0.09869384765625,0.5506744384765625,0.984316291057117,-0.9995775398408042,-0.7916800196979089,0
120,7.063,0.189544677734375,-0.2454071044921875,0.7458648681640625,0.9499043084877925,-0.9971032958876123,0.23465649198439628,1
121,7.113,1.128173828125,-0.3116302490234375,0.0035400390625,0.8977373725974214,-0.9909944374949137,0.11873800253762352,0
122,7.163,1.3136444091796875,-0.397674560546875,0.759735107421875,0.8935039569538712,-0.9811968743640251,0.05011763339389332,0
123,7.213,1.2883453369140625,-0.1985015869140625,0.15240478515625,0.8433719570649906,-0.9675863451396265,0.04078235855621299,0
124,7.263,0.89056396484375,-0.19964599609375,0.214691162109375,0.73230020809958,-0.9595536447479749,0.9498545235011152,0
125,7.313,1.022216796875,-0.105438232421875,0.438751220703125,0.7166148226753299,-0.9555876985858659,0.974723703949607,0
126,7.362,0.88885498046875,-0.5002593994140625,0.2281036376953125,0.4148774137120865,-0.9563404103550368,0.8504508625211886,0
127,7.452,-0.6864776611328125,-1.9681549072265625,1.33062744140625,0.57304593493332,-0.94170235628917,0.8921290803355669,0
128,7.502,0.213714599609375,-0.794219970703125,0.256591796875,0.307427936314993,-0.9513811428118207,0.24805321388790602,0
129,7.552,0.4983367919921875,-0.2733917236328125,0.192596435546875,0.5759126447707045,-0.9598817742517212,0.830358391596189,0
130,7.602,0.197540283203125,-0.5955810546875,0.5502166748046875,0.6785794002506258,-0.9720399749710572,0.2367021347856487,0
131,7.691,-0.4535675048828125,-2.1036376953125,0.915313720703125,0.7066442475812739,-0.9857808958920494,0.17701811273476717,0
132,7.741,1.14306640625,-1.0547637939453125,0.7968292236328125,0.7588469964341064,-0.9931452953223364,0.04043880109002419,0
133,7.791,1.8036041259765625,-0.5089569091796875,0.5496063232421875,0.8531535288078526,-0.9906521776113171,-0.07324991281883793,0
134,8.04,-1.812957763671875,2.2712554931640625,-0.119384765625,0.5863155292333767,-0.9843417027145176,-0.37406778813862146,0
135,8.09,-0.9892120361328125,0.1868743896484375,1.2910919189453125,0.6533202783027036,-0.9556445606517175,-0.5241689817083478,0
136,8.14,0.0161895751953125,0.071990966796875,0.5630950927734375,0.991926199656591,-0.9400848545365916,0.028507329252853555,1
137,8.19,0.7420501708984375,-0.149444580078125,0.6584625244140625,0.9751987438145552,-0.9192802021871952,0.739633654527414,0
138,8.24,0.83154296875,-0.327728271484375,0.262786865234375,0.6255717449364953,-0.8811640098195438,0.8925719405927809,0
139,8.29,0.790863037109375,-0.5515594482421875,0.297332763671875,0.4745194469995554,-0.8422710337122777,0.7838057015516829,0
140,8.339,1.093231201171875,-0.492401123046875,-0.2629241943359375,0.3359177849454899,-0.7879075094334815,0.8081665480103682,0
141,8.389,1.426727294921875,-0.3812255859375,0.028076171875,0.28927350588562495,-0.7990344667470825,0.8411180433552703,0
142,8.439,0.73284912109375,-1.1716766357421875,0.4449005126953125,0.24967115460602254,-0.8070186662030961,0.905011978852413,0
143,8.549,-0.0072174072265625,-2.3665313720703125,0.40362548828125,0.2834735910419592,-0.839810003930163,0.8529537041888825,0
144,8.599,1.2369842529296875,-0.092803955078125,-0.060943603515625,0.34671360839926446,-0.8791036833467989,0.7317087575051062,0
145,8.878,-4.4782867431640625,0.019805908203125,1.568084716796875,0.053915182842064424,-0.7884501722864633,0.5458385679567075,0
146,8.928,-1.42913818359375,0.523834228515625,-0.5391387939453125,0.15970307179611312,-0.6489351181176093,0.468890906218889,0
147,8.977,-1.681121826171875,-0.0507354736328125,1.0785369873046875,-0.006108146340702646,-0.6330544055149276,0.3304838171462504,1
148,9.027,-0.0687103271484375,-0.110443115234375,0.2774658203125,0.9291025959264452,-0.5747450554063307,-0.22422042863925765,0
149,9.077,0.3477630615234375,-0.410552978515625,0.5214080810546875,0.7856772444702558,-0.5240423389603827,0.464154960760369,0
150,9.127,0.90399169921875,-0.42352294921875,0.1125335693359375,0.2567978255340765,-0.47061447071043017,0.8998455462382066,0
151,9.177,1.1056060791015625,-0.2877655029296875,-0.027740478515625,0.142714029169326,-0.3981033941592636,0.9103007656964625,0
152,9.227,1.320465087890625,-0.48797607421875,0.0712432861328125,0.09013608725447626,-0.4329267093243261,0.9230108339332378,0
153,9.277,1.020050048828125,-1.303253173828125,0.663604736328125,0.07407915300313894,-0.4402814388411593,0.9568401578065319,0
154,9.366,0.4962158203125,-2.2132568359375,0.6999664306640625,0.1360373436019623,-0.4465485889694675,0.9186072301498321,0
155,9.416,1.09368896484375,-0.591522216796875,0.3594818115234375,0.24776636235971353,-0.45240937216422417,0.8848906575044087,0
156,9.466,1.5709991455078125,0.2144012451171875,0.3412933349609375,0.3669031927965898,-0.4443788875130976,0.8792691255915486,0
157,9.516,1.1569671630859375,-0.232269287109375,-0.0621490478515625,0.517087799822541,-0.47193869532449184,0.9228056988269812,0
158,9.566,1.3107452392578125,-0.6849822998046875,0.23370361328125,0.7509292655305044,-0.5787437001278456,0.9483674270744032,0
159,9.755,-2.27117919921875,1.4770660400390625,0.5626678466796875,0.6839792708222184,-0.43689377947010144,0.9663307521957367,0
160,9.805,-2.440185546875,0.385101318359375,0.4438323974609375,0.5179954577624313,-0.29796172255810005,0.8752921179030219,0
161,9.855,-0.8081817626953125,-0.02783203125,1.0456695556640625,0.49078176305521387,-0.2913250045173859,0.7790624499224783,1
162,9.905,0.451507568359375,-0.261444091796875,0.452880859375,0.8660475900258163,-0.23692455354266387,0.65352668520733,0
163,9.954,1.1801300048828125,-0.17803955078125,0.7612152099609375,0.8055248075619034,-0.2156823435916507,0.5711287069889568,0
164,10.004,1.2753143310546875,-0.3726959228515625,0.4586029052734375,0.7348594957809456,-0.20060183875657714,0.5376759707419089,0
165,10.054,1.3114471435546875,-0.1131744384765625,0.4671173095703125,0.6409665589020399,-0.14970265650136572,0.5350631431397374,0
166,10.104,0.965545654296875,0.1062469482421875,-0.2148895263671875,-0.896416944228992,-0.10310133407004526,0.9705352230936548,0
167,10.154,0.8479461669921875,-0.225860595703125,0.3451995849609375,0.8367995013542946,-0.1342360588441383,0.8992312094225787,0
168,10.283,0.024505615234375,-2.3399505615234375,0.9579925537109375,0.8662641793488445,-0.133239944791649,0.8470478230777383,0
169,10.333,1.0882568359375,-0.553802490234375,0.082489013671875,0.9288575667772647,-0.10773462405814153,0.7764786607687051,0
170,10.383,1.1821746826171875,-0.184906005859375,0.339874267578125,0.9928881527485953,-0.10856396613998699,0.7517486503644661,0
171,10.433,1.412261962890625,-0.005523681640625,0.171295166015625,0.9948751843440512,-0.10209026463053218,0.7305122491404792,0
172,10.483,1.4406585693359375,0.40985107421875,0.2474365234375,0.9637797414143249,-0.14456475722236878,0.756961130762267,0
173,10.602,-3.013916015625,-1.6974029541015625,0.2708892822265625,0.9846182675780822,-0.3557262313562642,0.9908187338229075,0
174,10.652,-1.1285552978515625,1.24285888671875,0.5168304443359375,0.9481448967978742,-0.2636626843817742,0.9932688535450416,0
175,10.702,-2.0412139892578125,0.0659637451171875,0.08917236328125,0.999434333413295,-0.3172261692150258,0.9792833347227505,0
176,10.752,-1.1728363037109375,-0.1159820556640625,1.4612274169921875,0.9987238050450084,-0.2857314570092974,0.9579858293730863,0
177,10.802,-0.5290069580078125,-0.137847900390625,1.0503082275390625,0.9752908188838915,-0.40868620701027203,0.9123901209189471,1
178,10.852,0.391845703125,-0.5867156982421875,0.3689727783203125,0.5323577433548444,-0.5743912047639552,0.49215070275937556,0
179,10.902,0.4674530029296875,-0.6962127685546875,0.242645263671875,0.32910653897871417,-0.6713836986013202,0.5354656500411035,0
180,10.951,0.55511474609375,-1.0038909912109375,0.666229248046875,0.26880108758351506,-0.6564912228733365,0.4554001318795069,0
181,11.001,0.473388671875,-1.08074951171875,-0.288482666015625,0.0685865659649415,-0.6564808970041556,0.4168751339944737,0
182,11.051,0.45355224609375,-1.1693267822265625,-0.1719207763671875,-0.014191049121776463,-0.6466616978712653,0.40667338915860096,0
183,11.101,0.2592010498046875,-1.18017578125,-0.00421142578125,0.018093573817383034,-0.5658752446797962,0.4091137590874002,0
184,11.151,0.094757080078125,-1.1746063232421875,-0.1873016357421875,0.05399328448024546,-0.49217520195599784,0.4178670038489462,0
185,11.201,-0.0630340576171875,-1.1048583984375,-0.169158935546875,0.06148764714449675,-0.45342420179239434,0.4169339440965591,0
186,11.25,0.02685546875,-0.9556732177734375,-0.101776123046875,-0.10589795163974491,-0.44457642717577117,0.027932184866389292,0
187,11.3,0.1697235107421875,-0.7729949951171875,0.0672149658203125,0.08662707053340277,-0.43416744485569514,0.21368823432637388,0
188,11.35,0.265533447265625,-0.74420166015625,0.062469482421875,0.08364742518430773,-0.4481947747285408,0.33500722579520553,0
189,11.4,-0.4175567626953125,-1.276519775390625,-0.6666107177734375,0.07507420598064019,-0.40600848860744926,0.34833890827028113,0
190,11.45,-0.1674957275390625,-1.2139892578125,-0.019866943359375,0.13673847785758833,-0.3619844445191427,0.34761714381672665,0
191,11.5,0.41766357421875,-0.6666259765625,0.0715179443359375,0.10667134107853997,-0.436587098186537,0.5287525165619528,0
192,11.55,0.5043487548828125,-0.443603515625,0.1474609375,0.3154442701132354,-0.4440920773217044,0.7334118372790263,0
193,11.599,-0.250823974609375,-1.0122528076171875,-0.00787353515625,-0.007777994716318681,-0.39918732386667766,-0.24050736237544953,0
194,11.689,-0.223724365234375,-2.0231475830078125,-0.024505615234375,0.13720840307264662,-0.3927952439948193,-0.2843076936593375,0
195,12.008,-4.152618408203125,-0.753509521484375,1.2132568359375,-0.24453131396446606,-0.38307733544858863,-0.5499869200557832,0
196,12.058,-0.3975372314453125,1.4143524169921875,-0.8534088134765625,-0.050329037605636874,-0.29503948595791935,-0.5461821408067249,0
197,12.108,-1.636474609375,-0.1261749267578125,1.875091552734375,-0.1992012431093287,-0.324588046439269,-0.6637530822920629,0
198,12.158,-0.6623077392578125,0.1919403076171875,0.8665924072265625,-0.3453984227388995,-0.2918793693544255,-0.7774301265502538,1
199,12.208,0.1418304443359375,-0.374603271484375,0.6088104248046875,0.8516890976324458,-0.31158046966659664,0.1946184106734399,0
200,12.257,0.804840087890625,-0.6983795166015625,0.9029541015625,0.6804543188239134,-0.339870583795563,0.052977376708700855,0
201,12.307,0.9619293212890625,-0.37188720703125,0.4599609375,0.5292051517426809,-0.3118871993586018,-0.09468671332466298,0
202,12.357,1.154144287109375,-0.1128997802734375,0.6495513916015625,0.351971626935584,-0.22343111478085476,-0.16040489114345557,0
203,12.407,1.2803955078125,-0.0587005615234375,0.1511993408203125,0.0942627214713395,-0.20866275867539744,-0.13107168379604234,0
204,12.457,0.8983917236328125,-1.14654541015625,-0.599212646484375,0.09789949953817777,-0.08462656280839687,-0.015647987096089864,0
205,12.507,-0.432220458984375,-2.1269989013671875,-1.061279296875,0.1015349707063094,0.04074034019413532,0.09998531375197033,0
206,12.556,0.790069580078125,-0.98175048828125,-0.0399932861328125,0.19029966207714014,0.006189873471517184,0.09019779716061274,0
207,12.606,0.5442962646484375,-0.5841522216796875,0.2851409912109375,0.43865809736847294,0.03897737054375898,0.6419955779134132,0
208,12.656,0.412933349609375,-0.5168304443359375,0.2154083251953125,0.3847101986467458,0.03211252724767695,0.5935325405828021,0
209,12.706,0.0214385986328125,-1.382720947265625,-0.1291046142578125,0.4192585278986072,0.03550129748695344,0.6429156745236277,0
210,12.786,0.3494110107421875,-2.275238037109375,-0.051849365234375,0.4906289886476829,-0.10222585423476965,0.620446094141453,0
211,12.836,1.6227874755859375,-0.168365478515625,1.3086700439453125,0.739708675479447,-0.15862562971554772,0.570451387115612,0
212,13.009,-8.021026611328125,0.41094970703125,-6.2067108154296875,0.882669670270693,-0.2117491518025097,0.7902229800191547,0
213,13.115,-0.6575469970703125,3.146942138671875,-0.8693389892578125,0.6492101409592218,-0.2502327716481182,0.5149713372805581,0
214,13.165,-0.306976318359375,-0.5354461669921875,1.5540313720703125,0.6867669801480077,-0.1462611453137474,0.4013411492107932,1
215,13.214,0.378326416015625,-0.4721221923828125,0.3601226806640625,0.6064805665949101,-0.14545621119060184,0.5373398686334528,0
216,13.264,1.2696533203125,-0.333740234375,0.6607513427734375,0.5904078844445129,-0.0707910724270493,0.39928657089147956,0
217,13.314,1.479827880859375,-0.4160614013671875,0.476409912109375,0.4807565370081987,0.05324611690299625,0.3542959836604062,0
218,13.364,1.0670623779296875,-0.39276123046875,0.2171783447265625,0.431207714093687,0.08241357951172008,0.35997364118952363,0
219,13.414,0.78277587890625,-0.243743896484375,0.4756011962890625,0.8899345543096606,0.12913322922441756,0.8258776191001302,0
220,13.464,0.8970184326171875,-0.268646240234375,0.1121826171875,0.3853372579536457,0.14551119651785385,0.9511594769131139,0
221,13.513,0.5866241455078125,-1.077301025390625,0.435943603515625,0.42860823161975586,0.1615588704521118,0.9734698837549066,0
