time,x,y,z,roll,pitch,yaw
60,2.991,-0.010894775390625,-0.226654052734375,-0.9994354248046875,0.03973276540637016,0.1955798864364624,0.13197454810142517
61,3.04,-0.056671142578125,-0.1531524658203125,-1.0677947998046875,-0.0017696705181151628,-0.11015819758176804,-0.0655001774430275
62,3.09,0.009796142578125,-0.19384765625,-0.91595458984375,0.038841672241687775,0.004861867055296898,-0.020254405215382576
63,3.14,-0.01318359375,-0.246337890625,-1.072052001953125,0.2560400366783142,0.027065971866250038,-0.033662620931863785
64,3.19,-0.0511016845703125,-0.235382080078125,-0.7812042236328125,-0.05702147260308266,0.14259469509124756,-0.10054311901330948
65,3.24,0.00482177734375,-0.225616455078125,-0.99151611328125,0.07729931175708771,0.040715739130973816,-0.0013076120521873236
66,3.29,-0.0341644287109375,-0.2566986083984375,-0.9420166015625,-0.06780195236206055,-0.1513109654188156,0.014162157662212849
67,3.339,0.027191162109375,-0.1979522705078125,-0.9737396240234375,0.054718371480703354,0.14291614294052124,0.03441070392727852
68,3.389,-0.0362091064453125,-0.23046875,-1.0451507568359375,0.038596395403146744,-0.010734137147665024,0.0043561323545873165
69,3.439,-0.0125274658203125,-0.242095947265625,-0.94622802734375,-0.052750829607248306,0.012435897253453732,0.061226073652505875
70,3.489,0.0035247802734375,-0.1653594970703125,-0.91351318359375,-0.052750829607248306,0.012435897253453732,0.061226073652505875
71,3.539,0.227386474609375,-0.3827056884765625,0.099884033203125,0.3169478476047516,-0.3142005503177643,-0.0031364047899842262
72,3.589,0.5017547607421875,0.1642608642578125,1.4683837890625,1.5523995161056519,1.1589373350143433,0.8768982291221619
73,3.638,-0.334075927734375,0.41314697265625,2.4620513916015625,1.5523995161056519,1.1589373350143433,0.8768982291221619
74,3.688,-0.57733154296875,0.1757965087890625,0.847442626953125,-5.161134719848633,-1.6969587802886963,0.24244220554828644
75,3.738,0.1290435791015625,1.6587066650390625,-4.1027374267578125,-5.161134719848633,-1.6969587802886963,0.24244220554828644
76,3.788,-0.2769012451171875,0.7277679443359375,-6.040496826171875,-3.920203685760498,1.141841173171997,1.6688517332077026
